Transaction_id,date_of_transaction,quantity_sold,customerid,productid
90,10/17/2015,21,37,149
91,4/25/2015,41,51,7
92,6/13/2011,24,181,281
93,8/20/2020,39,540,232
94,11/23/2016,40,150,183
95,9/8/2014,34,35,85
96,10/8/2011,36,193,90
97,8/31/2012,5,98,282
98,9/7/2011,48,201,121
99,5/5/2017,20,374,227
100,10/11/2017,29,471,2
101,2/16/2017,36,504,12
102,12/24/2022,1,408,132
103,10/16/2014,2,496,123
104,3/26/2014,24,442,67
105,4/4/2011,14,177,131
106,1/1/2012,20,490,151
107,6/7/2012,17,463,95
108,4/9/2010,27,18,112
109,1/10/2019,34,405,131
110,10/8/2019,25,206,168
111,5/28/2016,19,85,71
112,11/24/2021,25,423,115
113,7/20/2019,11,500,108
114,8/14/2011,50,550,269
115,11/6/2019,49,173,11
116,4/23/2010,25,554,54
117,1/26/2021,47,226,233
118,8/3/2023,25,106,168
119,8/25/2022,34,289,156
120,8/19/2022,49,435,163
121,4/5/2010,12,18,189
122,8/18/2023,34,365,211
123,1/16/2016,25,406,277
124,7/16/2020,19,511,76
125,9/13/2016,7,8,75
126,5/25/2016,11,178,10
127,5/5/2013,25,487,9
128,4/16/2016,32,346,248
129,9/5/2021,4,181,8
130,6/18/2022,7,442,7
131,6/15/2023,45,513,129
132,2/20/2019,18,84,250
133,1/15/2013,25,54,170
134,12/27/2011,42,527,138
135,2/22/2010,42,378,185
136,12/21/2014,4,518,287
137,2/5/2017,43,534,72
138,9/12/2010,45,404,28
139,11/16/2013,8,162,24
140,3/10/2022,12,236,239
141,1/5/2014,9,197,148
142,4/27/2019,5,158,2
143,4/17/2016,15,182,173
144,10/25/2023,34,454,196
145,12/26/2015,6,317,240
146,11/17/2010,30,309,127
147,1/6/2019,29,230,75
148,11/29/2010,14,183,280
149,4/11/2017,27,54,26
150,11/23/2013,29,114,62
151,6/18/2022,49,393,214
152,11/24/2022,21,380,99
153,6/18/2019,24,500,189
154,10/11/2022,26,109,194
155,3/23/2014,47,202,16
156,5/1/2015,30,33,60
157,5/12/2019,17,49,167
158,5/16/2016,2,429,251
159,10/3/2022,26,329,251
160,4/28/2014,13,226,62
161,3/17/2019,15,33,202
162,8/17/2014,36,595,90
163,3/28/2019,13,356,165
164,9/22/2013,46,127,248
165,9/21/2017,17,31,16
166,10/13/2011,30,589,141
167,9/3/2010,13,213,210
168,2/24/2022,28,22,65
169,12/8/2018,45,234,290
170,10/17/2016,17,597,168
171,12/27/2018,21,74,159
172,8/27/2012,25,430,247
173,10/27/2017,38,121,207
174,2/12/2018,43,150,49
175,12/7/2014,25,391,284
176,10/25/2012,44,219,60
177,3/21/2020,21,579,256
178,12/11/2022,38,515,300
179,5/29/2023,20,555,82
180,1/28/2023,43,152,271
181,2/5/2021,25,273,177
182,9/7/2017,25,501,119
183,2/19/2018,30,282,108
184,1/4/2016,21,286,89
185,10/30/2017,19,282,71
186,8/3/2010,32,36,187
187,1/5/2012,47,329,113
188,10/27/2012,18,123,225
189,9/19/2015,14,174,104
190,5/4/2018,6,171,59
191,12/4/2020,50,91,145
192,2/16/2018,5,244,1
193,10/4/2017,31,39,211
194,5/11/2023,33,214,101
195,3/30/2016,20,288,195
196,2/1/2018,44,340,66
197,6/4/2015,5,43,211
198,3/9/2011,9,372,164
199,3/17/2013,40,510,71
200,5/12/2015,41,22,51
201,10/23/2017,9,474,119
202,8/14/2011,5,55,51
203,12/17/2010,45,520,284
204,5/7/2013,40,54,89
205,3/27/2024,36,2,4
206,12/13/2020,9,63,255
207,10/28/2022,27,321,235
208,10/1/2019,18,315,214
209,4/23/2012,18,318,246
210,4/15/2021,3,361,122
211,2/6/2018,48,261,107
212,5/30/2015,16,14,35
213,4/24/2017,37,103,275
214,3/19/2018,38,150,134
215,2/10/2021,49,475,9
216,2/11/2022,9,305,59
217,4/28/2017,32,351,211
218,10/25/2010,32,213,23
219,11/26/2017,29,513,249
220,11/30/2022,28,482,200
221,11/23/2014,25,140,227
222,5/8/2011,22,53,156
223,12/31/2020,21,173,198
224,12/5/2013,46,251,112
225,7/27/2010,20,82,70
226,9/28/2020,44,552,203
227,6/24/2020,23,282,124
228,3/5/2018,41,63,293
229,4/15/2024,47,222,284
230,10/11/2022,27,77,224
231,9/28/2013,11,147,75
232,7/6/2010,9,336,294
233,1/1/2019,18,597,207
234,7/8/2018,29,208,165
235,8/3/2014,50,55,70
236,3/29/2024,26,85,251
237,9/8/2018,8,350,69
238,9/12/2015,39,369,297
239,11/12/2021,33,241,118
240,8/24/2010,23,573,85
241,7/24/2014,43,253,252
242,8/13/2019,38,289,40
243,3/23/2023,42,593,292
244,1/14/2014,8,583,46
245,3/6/2013,6,289,179
246,2/27/2010,5,451,49
247,12/8/2012,20,357,91
248,5/15/2015,17,164,129
249,9/25/2019,14,592,248
250,9/7/2012,18,217,196
251,1/9/2010,5,27,66
252,12/25/2010,22,512,188
253,10/24/2022,23,274,84
254,9/16/2010,49,365,245
255,2/4/2010,42,241,153
256,4/19/2016,24,475,71
257,2/3/2013,30,19,164
258,6/30/2014,28,509,138
259,3/21/2023,17,321,278
260,10/21/2015,24,50,254
261,7/10/2019,38,545,22
262,5/27/2018,39,398,164
263,11/15/2023,44,108,128
264,10/4/2015,24,308,171
265,4/21/2020,30,111,179
266,8/8/2018,16,260,277
267,5/28/2013,2,595,295
268,3/23/2021,2,580,13
269,12/12/2021,30,454,256
270,11/21/2019,42,25,79
271,9/23/2016,35,334,256
272,7/20/2019,28,47,22
273,9/8/2019,19,50,220
274,2/27/2021,5,107,221
275,4/28/2011,42,552,37
276,1/20/2013,6,398,217
277,2/11/2011,45,124,80
278,12/18/2022,8,109,62
279,11/14/2014,48,368,86
280,12/29/2022,30,47,66
281,2/6/2018,4,435,128
282,5/14/2019,31,406,21
283,9/27/2022,21,38,64
284,9/4/2023,23,346,295
285,4/21/2015,38,312,115
286,8/27/2014,30,208,38
287,9/17/2014,27,9,268
288,4/28/2019,12,141,100
289,6/18/2014,39,159,89
290,4/20/2017,47,567,294
291,11/1/2022,1,371,13
292,8/1/2011,4,596,136
293,4/16/2011,38,554,173
294,2/23/2017,18,326,164
295,1/1/2016,43,557,184
296,8/12/2014,47,176,120
297,6/28/2020,6,94,288
298,8/22/2013,50,498,80
299,12/30/2020,25,477,129
300,7/9/2016,26,455,170
301,4/2/2012,21,32,45
302,8/2/2019,47,537,122
303,9/26/2016,8,484,114
304,3/28/2015,28,503,110
305,3/4/2018,27,139,294
306,8/19/2011,10,29,245
307,6/19/2018,23,402,128
308,6/6/2023,43,180,82
309,8/7/2020,50,128,278
310,10/23/2010,12,9,183
311,3/23/2020,23,386,117
312,4/21/2023,39,14,161
313,2/9/2022,22,134,157
314,7/15/2021,40,238,137
315,3/5/2017,23,451,263
316,7/13/2021,23,384,176
317,11/13/2020,14,83,206
318,2/14/2011,15,376,37
319,10/18/2013,11,560,134
320,2/11/2019,32,15,62
321,7/8/2017,49,24,43
322,11/25/2019,18,261,227
323,11/11/2021,49,501,106
324,2/22/2014,15,379,168
325,8/18/2022,45,146,31
326,3/30/2022,50,476,282
327,1/31/2018,32,170,128
328,10/21/2016,43,418,217
329,12/19/2022,41,434,111
330,1/25/2014,38,416,39
331,8/5/2014,39,183,106
332,10/18/2016,6,82,279
333,11/15/2011,29,422,233
334,1/27/2022,38,170,142
335,12/29/2011,35,568,251
336,2/14/2022,35,409,34
337,8/24/2015,35,338,270
338,4/24/2020,29,182,247
339,8/23/2021,32,29,237
340,1/6/2010,25,270,9
341,4/6/2018,46,324,76
342,8/23/2014,23,117,300
343,2/21/2016,14,60,32
344,6/11/2011,2,142,185
345,8/9/2015,39,301,195
346,1/14/2023,27,390,24
347,3/31/2017,15,359,40
348,11/30/2022,26,409,11
349,10/28/2010,1,231,187
350,12/9/2015,25,497,198
351,4/15/2014,12,203,221
352,8/10/2011,48,382,197
353,8/15/2015,5,375,107
354,8/3/2019,4,546,44
355,6/10/2017,39,168,238
356,9/4/2023,5,120,100
357,4/5/2017,3,498,14
358,4/3/2010,33,173,289
359,6/28/2019,39,383,285
360,1/29/2022,28,84,249
361,6/1/2015,41,249,262
362,9/22/2013,1,10,253
363,3/29/2012,20,111,275
364,1/8/2024,19,78,254
365,12/11/2020,5,374,147
366,1/5/2012,3,367,88
367,5/21/2010,39,439,94
368,9/17/2023,8,479,117
369,9/11/2010,15,279,38
370,2/8/2014,41,72,182
371,7/17/2016,11,592,174
372,3/25/2018,33,320,128
373,10/3/2022,46,415,82
374,11/28/2014,18,6,140
375,3/23/2018,21,57,131
376,11/3/2014,1,161,63
377,5/19/2018,28,53,75
378,4/24/2012,41,585,292
379,4/3/2012,15,125,286
380,8/13/2018,34,164,233
381,2/18/2024,42,263,160
382,12/18/2018,43,320,139
383,5/12/2021,42,409,241
384,5/5/2012,33,146,230
385,11/4/2016,42,160,117
386,3/4/2018,12,315,217
387,11/17/2023,28,598,243
388,3/17/2013,15,179,40
389,2/5/2024,32,119,2
390,9/11/2022,14,188,220
391,6/4/2016,11,23,119
392,1/30/2024,40,482,108
393,5/22/2010,33,355,36
394,11/20/2015,16,368,45
395,1/31/2021,34,379,131
396,9/28/2011,41,100,43
397,7/20/2018,26,481,196
398,5/22/2015,9,540,102
399,3/11/2019,7,192,244
400,2/13/2012,49,401,249
401,11/28/2021,38,551,54
402,1/22/2022,33,405,182
403,4/27/2016,5,226,58
404,10/19/2013,29,151,52
405,8/9/2015,8,77,30
406,12/1/2018,5,48,74
407,9/9/2022,45,84,288
408,12/17/2021,21,436,42
409,9/27/2021,42,519,87
410,11/27/2017,39,339,186
411,4/7/2014,44,193,55
412,3/9/2022,37,409,71
413,2/16/2019,43,299,274
414,6/2/2022,24,37,278
415,9/3/2015,16,148,227
416,1/21/2021,19,32,133
417,6/16/2017,22,52,194
418,11/26/2020,48,19,142
419,1/7/2014,2,399,167
420,8/11/2019,23,134,28
421,4/23/2019,47,316,10
422,5/13/2018,43,3,264
423,10/15/2020,1,398,268
424,12/19/2023,3,324,168
425,12/21/2022,5,344,121
426,12/15/2010,46,327,19
427,2/20/2016,50,208,15
428,3/3/2013,24,563,151
429,2/6/2018,45,11,173
430,1/20/2010,13,547,212
431,8/6/2010,2,333,226
432,11/10/2019,50,263,234
433,11/12/2015,3,571,90
434,12/17/2016,11,507,259
435,8/25/2017,44,26,9
436,11/1/2011,40,118,236
437,11/15/2014,21,217,104
438,3/2/2023,48,25,289
439,8/17/2016,45,48,143
440,11/8/2020,1,387,102
441,1/19/2018,27,204,178
442,3/15/2023,32,177,269
443,12/27/2013,6,197,169
444,6/2/2014,15,488,17
445,9/7/2018,28,450,293
446,11/25/2023,9,117,238
447,4/8/2016,47,572,185
448,2/13/2010,13,510,140
449,8/14/2018,38,580,115
450,4/10/2017,33,583,249
451,7/4/2014,28,75,53
452,10/19/2023,7,70,47
453,8/8/2012,9,132,169
454,10/16/2013,41,560,137
455,10/28/2022,30,281,84
456,8/26/2023,22,545,25
457,1/3/2015,14,256,57
458,4/13/2021,20,218,109
459,11/19/2019,2,167,62
460,6/15/2017,3,145,128
461,12/9/2014,31,30,51
462,1/22/2013,1,107,130
463,7/26/2011,26,133,24
464,4/5/2023,35,180,40
465,10/20/2019,10,131,243
466,11/24/2020,26,299,223
467,5/22/2023,48,299,115
468,10/10/2012,28,443,47
469,5/3/2018,50,600,63
470,7/18/2010,8,184,288
471,9/13/2015,30,271,280
472,2/23/2017,30,484,182
473,8/12/2023,5,136,221
474,3/14/2022,35,400,41
475,6/16/2017,47,321,21
476,3/20/2020,2,502,11
477,4/2/2010,29,396,75
478,9/11/2022,27,50,52
479,8/30/2011,23,561,106
480,1/27/2012,6,93,5
481,10/19/2012,15,19,254
482,7/18/2020,11,407,65
483,3/13/2010,7,188,186
484,7/25/2021,37,204,100
485,5/16/2022,45,232,98
486,2/12/2015,1,319,270
487,1/7/2012,49,296,155
488,5/23/2018,40,136,45
489,10/19/2022,20,488,187
490,1/23/2015,34,330,206
491,5/13/2021,42,549,258
492,10/7/2012,9,492,245
493,9/17/2010,49,578,182
494,11/25/2022,25,315,20
495,10/25/2015,19,296,241
496,3/30/2021,42,67,58
497,5/2/2022,32,500,108
498,3/20/2016,33,521,243
499,10/24/2018,12,513,264
500,4/18/2022,16,335,39
501,3/8/2018,50,86,98
502,8/12/2023,35,466,251
503,8/28/2016,19,280,103
504,3/10/2010,6,185,102
505,5/3/2014,39,246,200
506,11/6/2016,36,290,292
507,12/4/2016,6,320,187
508,4/19/2020,29,396,88
509,4/13/2019,32,270,155
510,7/16/2023,6,442,57
511,2/15/2020,13,428,189
512,7/4/2016,31,437,71
513,6/3/2019,25,396,186
514,2/26/2014,7,352,241
515,5/29/2014,1,127,297
516,5/23/2014,2,118,36
517,8/24/2020,13,172,81
518,10/10/2019,1,142,140
519,3/18/2010,19,103,300
520,4/2/2015,6,460,213
521,8/11/2014,13,209,173
522,3/28/2022,25,578,8
523,7/22/2018,4,116,293
524,6/14/2023,49,294,199
525,1/14/2015,7,517,170
526,3/18/2014,13,566,259
527,5/17/2010,2,374,203
528,10/25/2023,25,277,114
529,12/1/2011,8,19,258
530,5/6/2023,33,577,92
531,7/16/2019,12,194,238
532,3/24/2019,20,286,87
533,1/23/2016,49,264,75
534,9/3/2013,35,442,200
535,10/5/2014,19,300,122
536,7/22/2020,22,50,217
537,4/18/2016,11,85,17
538,1/28/2011,3,252,211
539,12/2/2012,48,37,203
540,12/2/2014,25,251,264
541,7/13/2014,50,293,168
542,6/15/2012,13,142,192
543,4/14/2013,34,234,37
544,4/4/2023,20,280,149
545,9/9/2012,18,428,5
546,8/27/2021,36,98,131
547,4/28/2019,25,331,63
548,3/11/2011,49,112,11
549,3/14/2014,30,85,224
550,3/13/2015,14,208,33
551,4/23/2012,46,348,33
552,11/29/2021,26,473,239
553,9/15/2022,16,2,44
554,12/29/2021,33,491,50
555,2/21/2013,43,466,255
556,5/19/2018,32,88,193
557,12/6/2021,39,594,4
558,11/2/2018,26,73,262
559,4/7/2015,42,105,253
560,9/19/2023,25,391,156
561,12/8/2022,32,21,144
562,5/19/2023,15,257,294
563,9/11/2011,25,213,44
564,5/16/2014,35,314,183
565,3/14/2022,27,564,226
566,3/17/2011,36,504,230
567,3/29/2019,4,589,262
568,12/21/2010,35,202,136
569,10/15/2017,13,139,256
570,2/16/2011,38,213,84
571,11/14/2020,28,408,32
572,6/19/2013,34,320,178
573,5/15/2019,31,122,102
574,2/6/2020,19,229,244
575,12/31/2023,46,268,242
576,7/1/2011,39,60,208
577,8/2/2023,2,178,253
578,11/15/2023,11,579,56
579,11/4/2020,19,112,232
580,11/1/2021,21,480,247
581,5/21/2014,29,16,243
582,2/7/2020,35,88,2
583,12/6/2023,5,68,213
584,12/26/2012,8,352,228
585,6/25/2014,18,46,42
586,9/13/2015,28,382,132
587,8/25/2022,43,287,170
588,8/20/2023,11,274,25
589,4/10/2012,10,487,81
590,5/8/2019,19,528,18
591,4/12/2011,18,73,122
592,7/13/2014,39,116,210
593,5/19/2023,36,543,46
594,7/20/2020,39,308,182
595,7/20/2013,23,121,242
596,1/1/2022,41,259,182
597,9/13/2014,47,79,226
598,4/20/2012,29,164,150
599,1/17/2022,25,331,24
600,4/22/2021,20,534,93
601,11/27/2022,44,126,94
602,12/4/2010,5,473,252
603,3/20/2016,12,264,145
604,6/18/2016,34,247,223
605,1/29/2023,35,84,161
606,10/26/2010,14,585,101
607,7/8/2021,35,78,57
608,5/12/2017,23,347,209
609,8/29/2012,6,243,280
610,8/25/2022,5,161,242
611,5/14/2010,39,224,38
612,7/6/2013,14,309,295
613,12/27/2013,29,137,194
614,7/5/2023,15,35,115
615,12/11/2021,21,362,220
616,11/25/2017,25,429,92
617,9/3/2017,8,151,224
618,1/2/2012,15,262,146
619,1/23/2013,40,143,264
620,3/16/2022,38,353,206
621,4/22/2019,6,319,30
622,4/4/2014,40,36,265
623,7/6/2014,49,261,120
624,7/14/2011,10,106,146
625,4/5/2012,38,79,128
626,6/6/2023,16,17,244
627,10/4/2015,40,272,182
628,5/30/2021,46,449,78
629,1/12/2011,30,347,186
630,2/28/2022,27,283,18
631,3/6/2020,16,327,226
632,11/6/2016,2,482,31
633,9/19/2022,34,165,254
634,3/11/2020,12,454,95
635,12/11/2023,48,292,160
636,4/16/2018,22,424,264
637,3/3/2017,26,99,103
638,1/28/2020,26,467,283
639,6/20/2022,36,384,269
640,6/29/2017,18,52,18
641,9/13/2013,3,51,186
642,7/2/2015,47,445,198
643,6/19/2019,12,77,5
644,11/23/2014,8,136,79
645,8/24/2017,5,521,175
646,2/7/2019,14,325,149
647,12/23/2022,35,313,219
648,9/25/2013,39,42,249
649,12/27/2010,23,544,224
650,12/17/2021,45,405,275
651,9/26/2012,22,388,284
652,10/5/2021,50,229,32
653,5/8/2016,23,442,228
654,9/18/2016,25,278,91
655,10/30/2015,3,479,122
656,7/20/2023,28,199,216
657,5/17/2011,8,49,261
658,9/24/2014,44,544,262
659,5/9/2022,34,498,293
660,3/8/2013,16,168,268
661,9/28/2018,18,405,225
662,3/19/2022,50,460,191
663,8/1/2016,2,127,239
664,3/5/2011,48,562,46
665,10/3/2017,7,133,139
666,7/11/2013,21,81,104
667,12/1/2023,43,323,34
668,9/5/2015,50,176,286
669,4/30/2011,18,249,293
670,11/20/2012,40,493,165
671,9/4/2013,17,451,159
672,9/7/2010,38,589,43
673,6/9/2015,31,129,240
674,6/10/2012,3,545,130
675,2/11/2015,15,242,268
676,3/30/2022,3,280,178
677,3/1/2017,50,215,292
678,10/28/2020,39,445,201
679,10/3/2020,22,496,13
680,8/12/2021,9,394,229
681,7/8/2016,28,12,145
682,11/5/2012,50,147,271
683,1/11/2021,6,70,132
684,3/26/2013,42,72,25
685,9/7/2011,49,163,137
686,5/20/2016,25,408,262
687,9/2/2013,15,186,43
688,6/2/2018,23,86,256
689,7/30/2014,21,258,264
690,1/8/2018,20,225,223
691,7/19/2015,33,503,201
692,6/7/2021,18,445,265
693,6/6/2019,26,201,11
694,4/1/2022,36,135,243
695,3/5/2011,26,331,67
696,1/29/2015,32,390,102
697,7/21/2018,43,277,50
698,11/5/2012,12,314,230
699,5/17/2010,2,233,143
700,9/8/2016,42,120,222
701,3/26/2017,41,43,182
702,8/15/2021,49,122,110
703,7/23/2023,23,589,199
704,6/2/2012,41,318,125
705,3/28/2011,9,453,218
706,2/19/2016,8,581,44
707,2/25/2024,7,96,106
708,6/16/2018,29,247,137
709,4/8/2022,31,356,14
710,12/18/2018,27,313,197
711,10/31/2023,36,205,33
712,11/14/2018,21,107,43
713,9/2/2014,27,235,254
714,11/13/2021,4,486,125
715,5/8/2011,8,220,132
716,6/4/2017,45,164,154
717,1/6/2013,50,502,75
718,1/11/2011,11,100,287
719,9/15/2017,12,84,207
720,5/18/2011,4,439,188
721,12/11/2018,3,581,131
722,10/30/2020,6,220,44
723,1/15/2021,9,454,218
724,6/7/2023,2,78,149
725,8/24/2018,30,46,31
726,9/21/2020,35,280,259
727,9/15/2019,12,362,17
728,11/7/2017,11,395,221
729,10/19/2016,1,83,28
730,2/6/2024,39,486,258
731,4/18/2019,1,94,128
732,10/24/2014,36,465,60
733,2/13/2013,6,339,297
734,4/29/2014,35,466,9
735,6/10/2015,41,80,117
736,11/17/2020,33,522,143
737,8/4/2010,43,226,183
738,3/25/2013,7,60,204
739,4/9/2015,19,149,294
740,12/23/2013,39,533,165
741,8/25/2013,29,486,300
742,12/4/2023,44,399,257
743,11/18/2010,36,288,220
744,11/3/2019,23,558,7
745,9/20/2022,7,41,254
746,10/3/2022,24,376,179
747,4/6/2023,8,284,250
748,12/10/2013,20,369,260
749,11/26/2020,12,394,235
750,8/29/2017,8,47,120
751,4/21/2017,22,120,142
752,11/28/2010,31,587,232
753,1/14/2019,10,15,114
754,9/25/2018,15,149,35
755,9/12/2011,32,124,16
756,5/16/2011,3,282,178
757,3/31/2010,3,400,120
758,11/11/2013,23,516,110
759,2/25/2018,50,323,238
760,1/17/2018,46,155,30
761,9/10/2018,32,131,178
762,7/3/2020,33,350,225
763,8/31/2022,24,171,217
764,8/23/2010,2,569,98
765,3/7/2018,39,226,16
766,3/3/2014,37,476,205
767,11/1/2016,34,244,204
768,4/14/2023,41,593,212
769,1/24/2020,26,123,201
770,10/10/2018,25,282,244
771,12/23/2014,10,126,118
772,10/27/2014,48,570,94
773,4/19/2012,29,450,23
774,11/2/2012,36,554,172
775,5/12/2020,2,292,243
776,5/13/2015,41,475,112
777,1/7/2012,1,230,200
778,4/12/2022,14,587,237
779,7/27/2011,35,222,44
780,4/19/2016,6,203,120
781,6/22/2014,49,313,48
782,3/27/2021,27,421,116
783,3/13/2011,2,287,101
784,5/24/2013,18,333,282
785,8/11/2015,15,99,169
786,6/21/2018,8,28,104
787,8/20/2021,42,472,182
788,7/25/2018,38,239,269
789,6/15/2010,44,592,237
790,1/29/2021,30,78,54
791,6/25/2023,33,329,232
792,4/19/2016,25,419,180
793,5/20/2016,37,111,9
794,5/6/2010,21,571,220
795,4/19/2016,24,516,17
796,8/19/2021,1,537,153
797,4/19/2023,10,327,117
798,6/21/2012,9,418,247
799,9/23/2012,12,459,270
800,2/27/2013,16,396,250
